aces,double_faults,points_won,first_serve_points_won,second_serve_points_won,total_breakpoints,breakpoins_won,first_serve_successful,second_serve_successful,service_points_won,receiver_points_won,is_winner,match_type,tournament_id,opp_aces,opp_double_faults,opp_points_won,opp_first_serve_points_won,opp_second_serve_points_won,opp_total_breakpoints,opp_breakpoins_won,opp_first_serve_successful,opp_second_serve_successful,opp_service_points_won,opp_receiver_points_won,total_points_served,opp_total_points_served,double_fault_percentage,ace_percentage,total_points,first_serve_points_won_pct,second_serve_points_won_pct,first_serve_pct,surface
8,2,83,45,16,1,1,64,20,61,22,False,singles,sr:tournament:3085,11,3,85,49,11,7,2,59,20,60,25,86,82,0.023255813953488372,0.09302325581395349,168,0.703125,0.8,0.7441860465116279,Hardcourt outdoor
9,3,68,41,3,2,2,46,3,44,24,True,singles,sr:tournament:3085,9,0,47,30,9,0,0,52,11,39,8,52,63,0.057692307692307696,0.17307692307692307,115,0.8913043478260869,1.0,0.8846153846153846,Hardcourt outdoor
3,0,66,32,7,6,3,38,9,39,27,True,singles,sr:tournament:3085,5,2,40,25,7,1,0,41,16,32,8,47,59,0.0,0.06382978723404255,106,0.8421052631578947,0.7777777777777778,0.8085106382978723,Hardcourt outdoor
4,0,56,26,10,4,3,30,17,36,20,True,singles,sr:tournament:3031,0,0,40,16,13,0,0,29,20,29,11,47,49,0.0,0.0851063829787234,96,0.8666666666666667,0.5882352941176471,0.6382978723404256,Hardcourt outdoor
7,0,68,33,11,6,2,38,21,44,24,True,singles,sr:tournament:3031,7,1,56,29,12,4,0,40,24,41,15,59,65,0.0,0.11864406779661017,124,0.868421052631579,0.5238095238095238,0.6440677966101694,Hardcourt outdoor
8,0,53,18,13,6,5,22,18,31,22,True,singles,sr:tournament:3031,0,2,23,11,3,2,1,23,11,14,9,40,36,0.0,0.2,76,0.8181818181818182,0.7222222222222222,0.55,Hardcourt outdoor
10,2,77,29,11,12,4,36,16,40,37,True,singles,sr:tournament:3031,3,1,56,27,15,4,1,45,33,42,14,54,79,0.037037037037037035,0.18518518518518517,133,0.8055555555555556,0.6875,0.6666666666666666,Hardcourt outdoor
7,2,75,26,13,12,3,31,18,39,36,True,singles,sr:tournament:3031,8,5,57,34,11,0,0,53,23,45,12,51,81,0.0392156862745098,0.13725490196078433,132,0.8387096774193549,0.7222222222222222,0.6078431372549019,Hardcourt outdoor
2,5,63,31,12,5,1,44,24,43,20,False,singles,sr:tournament:2591,9,4,80,32,18,7,4,39,27,50,30,73,70,0.0684931506849315,0.0273972602739726,143,0.7045454545454546,0.5,0.6027397260273972,Hardcourt outdoor
6,8,105,46,22,9,4,57,28,68,37,True,singles,sr:tournament:2591,6,3,78,32,21,7,0,46,41,53,25,93,90,0.08602150537634409,0.06451612903225806,183,0.8070175438596491,0.7857142857142857,0.6129032258064516,Hardcourt outdoor
7,8,103,30,19,18,9,42,32,49,54,True,singles,sr:tournament:2591,6,5,82,34,15,8,5,68,30,49,33,82,103,0.0975609756097561,0.08536585365853659,185,0.7142857142857143,0.59375,0.5121951219512195,Hardcourt outdoor
4,3,94,37,19,11,4,44,26,56,38,True,singles,sr:tournament:2591,4,5,70,33,20,0,0,53,33,53,17,73,91,0.0410958904109589,0.0547945205479452,164,0.8409090909090909,0.7307692307692307,0.6027397260273972,Hardcourt outdoor
6,1,75,36,12,2,1,50,18,48,27,False,singles,sr:tournament:2983,16,4,75,43,11,3,3,55,22,54,21,69,81,0.014492753623188406,0.08695652173913043,150,0.72,0.6666666666666666,0.7246376811594203,Hardcourt outdoor
5,6,73,41,6,4,2,46,11,47,26,True,singles,sr:tournament:2983,2,5,52,24,12,3,0,37,20,36,16,63,62,0.09523809523809523,0.07936507936507936,125,0.8913043478260869,0.5454545454545454,0.7301587301587301,Hardcourt outdoor
8,0,70,36,9,6,2,44,18,45,25,True,singles,sr:tournament:2983,0,2,54,26,11,4,0,41,19,37,17,62,62,0.0,0.12903225806451613,124,0.8181818181818182,0.5,0.7096774193548387,Hardcourt outdoor
